SKU,post_title,post_content,post_excerpt,category1,category2,variations,pa_talla,regular_price,sale_price,image_1,image_2,image_3,image_4
11,Sandalias Sir Suede Pu Marron,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Calzado,Sandalias,Talla,39-43,59.9,29.95,sandalias-sir01.jpg,,,
12,Zapatillas Pugna Marron,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Calzado,Zapatillas,Talla,40-42,219,159,zapatillas-pugna01.jpg,zapatillas-pugna02.jpg,zapatillas-pugna03.jpg,zapatillas-pugna04.jpg
13,Zapatillas Factory Gris,"In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment! 'Convivimos en armonía con la ciudad y la tierra que nos rodea. Somos diferentes, nuestro ADN nos mantiene en movimiento. En lo que no hay límites, pues renunciar a nuestra pasión no es una opción. Si nos caemos nos levantamos, siempre hacia adelante. No importa que hagamos, lo hacemos con pasión y alegría, ya que finalmente lo único que importa es vivir el momento. Toda nuestra filosofía y nuestro estilo de vida giran en torno al arte, la acción y la aventura; Dunkelvolk being diferent is an art.","In life we search for a balance between a combination of art, action and adventure. We are different; our DNA keeps us on the go… There are no limits in what we do, there is no turning back either. If we fall we get up, always moving forward. Doesn’t matter what we do, it’s all done with passion and happiness, in the end what matters is to live in the moment!'",Calzado,Zapatillas,Talla,40-43,199,139,zapatillas-factory01.jpg,zapatillas-factory02.jpg,zapatillas-factory03.jpg,zapatillas-factory04.jpg
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
